frame,OH_SiO2,OH_CSH_on_O_Hydroxyl,OH_CSH_on_O_Bridging,OH_CSH_Water,OH_IF,OH_IF_CaCoord,OH_SiO2_per_nm2,OH_CSH_on_O_Hydroxyl_per_nm2,OH_CSH_on_O_Bridging_per_nm2,OH_CSH_Water_per_nm2,OH_IF_per_nm2,OH_IF_CaCoord_per_nm2,OH_SiO2_per_nm3,OH_CSH_on_O_Hydroxyl_per_nm3,OH_CSH_on_O_Bridging_per_nm3,OH_CSH_Water_per_nm3,OH_IF_per_nm3,OH_IF_CaCoord_per_nm3
47,180,281,0,174,380,212,9.272980608,14.47615306,0,8.963881254,19.57629239,10.92151049,4.036186298,6.300935276,0,3.901646754,8.52083774,4.753730528
48,180,278,0,170,375,222,9.272980608,14.32160338,0,8.757815018,19.3187096,11.43667608,4.039417887,6.238656514,0,3.815005782,8.415453931,4.981948727
49,180,278,0,170,383,214,9.272980608,14.32160338,0,8.757815018,19.73084207,11.02454361,4.046245285,6.249201051,0,3.82145388,8.6095108,4.810536061
50,180,285,0,171,388,208,9.272980608,14.6822193,0,8.809331577,19.98842487,10.71544426,4.020455942,6.365721908,0,3.819433145,8.666316142,4.6458602
51,180,285,0,172,374,218,9.272980608,14.6822193,0,8.860848136,19.26719304,11.23060985,4.03824808,6.393892794,0,3.858770388,8.390582122,4.890767119
52,180,284,0,172,378,216,9.272980608,14.63070274,0,8.860848136,19.47325928,11.12757673,4.042939309,6.378859798,0,3.863253117,8.490172548,4.851527171
53,180,280,0,173,376,220,9.272980608,14.4246365,0,8.912364695,19.37022616,11.33364297,4.024389687,6.260161736,0,3.867885644,8.406502902,4.918698507
54,180,281,0,170,376,222,9.272980608,14.47615306,0,8.757815018,19.37022616,11.43667608,4.026974492,6.286554624,0,3.803253687,8.411902272,4.966601873
55,180,279,0,170,395,202,9.272980608,14.37311994,0,8.757815018,20.34904078,10.4063449,4.030469863,6.247228287,0,3.806554871,8.844642199,4.523082846
56,180,274,0,170,380,218,9.272980608,14.11553715,0,8.757815018,19.57629239,11.23060985,4.046315909,6.159391994,0,3.82152058,8.542222474,4.900538156
57,180,280,0,171,362,236,9.272980608,14.4246365,0,8.809331577,18.64899433,12.15790791,4.023744441,6.259158019,0,3.822557219,8.092197154,5.275576045
58,180,279,0,168,372,228,9.272980608,14.37311994,0,8.654781901,19.16415992,11.74577544,4.036111635,6.255973034,0,3.767037526,8.341297379,5.112408071
59,180,279,0,170,391,208,9.272980608,14.37311994,0,8.757815018,20.14297454,10.71544426,4.045375928,6.270332688,0,3.820632821,8.787455488,4.674656628
60,180,284,0,170,387,208,9.272980608,14.63070274,0,8.757815018,19.93690831,10.71544426,4.047876446,6.386649504,0,3.822994421,8.702934359,4.677546116
61,180,282,0,168,380,216,9.272980608,14.52766962,0,8.654781901,19.57629239,11.12757673,4.045651257,6.33818697,0,3.775941173,8.540819321,4.854781509
62,180,288,0,170,385,210,9.272980608,14.83676897,0,8.757815018,19.83387519,10.81847738,4.041641507,6.466626411,0,3.817105868,8.644622112,4.715248425
63,180,280,0,168,376,218,9.272980608,14.4246365,0,8.654781901,19.37022616,11.23060985,4.04447872,6.291411342,0,3.774846805,8.44846666,4.898313117
64,180,280,0,168,360,234,9.272980608,14.4246365,0,8.654781901,18.54596122,12.05487479,4.056358083,6.309890352,0,3.785934211,8.112716167,5.273265509
65,180,279,0,170,378,216,9.272980608,14.37311994,0,8.757815018,19.47325928,11.12757673,4.057996523,6.28989461,0,3.832552271,8.521792697,4.869595827
66,180,279,0,168,374,224,9.272980608,14.37311994,0,8.654781901,19.26719304,11.5397092,4.055169579,6.285512848,0,3.784824941,8.425741237,5.046433254
67,180,282,0,168,378,218,9.272980608,14.52766962,0,8.654781901,19.47325928,11.23060985,4.038049368,6.326277344,0,3.768846077,8.479903674,4.890526457
68,180,282,0,168,380,218,9.272980608,14.52766962,0,8.654781901,19.57629239,11.23060985,4.033454562,6.319078814,0,3.764557592,8.515070743,4.884961637
69,180,282,0,170,380,218,9.272980608,14.52766962,0,8.757815018,19.57629239,11.23060985,4.013181947,6.287318383,0,3.790227394,8.472272998,4.860409246
70,180,277,0,170,350,248,9.272980608,14.27008682,0,8.757815018,18.03079563,12.77610662,4.044531642,6.224084804,0,3.819835439,7.864367081,5.572465817
71,180,275,0,170,372,226,9.272980608,14.16705371,0,8.757815018,19.16415992,11.64274232,4.049549598,6.186811885,0,3.82457462,8.369069168,5.084434495
72,180,278,0,170,378,218,9.272980608,14.32160338,0,8.757815018,19.47325928,11.23060985,4.029647546,6.223566766,0,3.805778238,8.462259848,4.880350917
73,180,280,0,170,374,224,9.272980608,14.4246365,0,8.757815018,19.26719304,11.5397092,4.039530506,6.28371412,0,3.815112144,8.393246717,5.026971296
74,180,283,0,170,364,234,9.272980608,14.57918618,0,8.757815018,18.75202745,12.05487479,4.04425911,6.358474046,0,3.819578049,8.178390645,5.257536844
75,180,278,0,170,386,210,9.272980608,14.32160338,0,8.757815018,19.88539175,10.81847738,4.030414681,6.224751563,0,3.806502754,8.643000371,4.702150461
76,180,280,0,170,386,212,9.272980608,14.4246365,0,8.757815018,19.88539175,10.92151049,4.032422347,6.272656984,0,3.808398883,8.6473057,4.749297431
77,180,278,0,170,366,232,9.272980608,14.32160338,0,8.757815018,18.85506057,11.95184167,4.048852062,6.253227074,0,3.823915836,8.23266586,5.218520436
78,180,281,0,170,378,220,9.272980608,14.47615306,0,8.757815018,19.47325928,11.33364297,4.038400205,6.304391431,0,3.814044638,8.48064043,4.935822472
79,180,278,0,170,400,198,9.272980608,14.32160338,0,8.757815018,20.60662357,10.20027867,4.048718594,6.25302094,0,3.823789783,8.997152431,4.453590454
80,180,275,0,170,370,228,9.272980608,14.16705371,0,8.757815018,19.0611268,11.74577544,4.053392558,6.192683074,0,3.828204082,8.331973591,5.13429724
81,180,280,0,170,376,220,9.272980608,14.4246365,0,8.757815018,19.37022616,11.33364297,4.03891206,6.282752094,0,3.814528057,8.436838526,4.936448074
