frame,Ca-O_SiO2_Surface,Ca-O_SiO2_Structural,Ca-O_Water_IF_CaCoord,CSH_Si-O_SiO2_Surface,CSH_Si-O_SiO2_Structural,Si_Surface-O_Hydroxyl_CSH,Si_Bulk-O_Hydroxyl_CSH,Si_Surface-O_NBO_CSH,Si_Bulk-O_NBO_CSH,Ca-O_SiO2_Surface_per_nm2,Ca-O_SiO2_Structural_per_nm2,Ca-O_Water_IF_CaCoord_per_nm2,CSH_Si-O_SiO2_Surface_per_nm2,CSH_Si-O_SiO2_Structural_per_nm2,Si_Surface-O_Hydroxyl_CSH_per_nm2,Si_Bulk-O_Hydroxyl_CSH_per_nm2,Si_Surface-O_NBO_CSH_per_nm2,Si_Bulk-O_NBO_CSH_per_nm2,Ca-O_SiO2_Surface_per_nm3,Ca-O_SiO2_Structural_per_nm3,Ca-O_Water_IF_CaCoord_per_nm3,CSH_Si-O_SiO2_Surface_per_nm3,CSH_Si-O_SiO2_Structural_per_nm3,Si_Surface-O_Hydroxyl_CSH_per_nm3,Si_Bulk-O_Hydroxyl_CSH_per_nm3,Si_Surface-O_NBO_CSH_per_nm3,Si_Bulk-O_NBO_CSH_per_nm3,Ca-O_SiO2_Surface_per_Ca,Ca-O_SiO2_Structural_per_Ca,Ca-O_Water_IF_CaCoord_per_Ca,CN_Ca_total_per_Ca
53,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.459349253,0,0,0,0,0,0,0,0,0.4471544715,0.4471544715
54,0,0,111,0,0,0,0,0,0,0,0,5.718338041,0,0,0,0,0,0,0,0,2.483300937,0,0,0,0,0,0,0,0,0.4549180328,0.4549180328
55,0,0,101,0,0,0,0,0,0,0,0,5.203172452,0,0,0,0,0,0,0,0,2.261541423,0,0,0,0,0,0,0,0,0.4139344262,0.4139344262
56,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.450269078,0,0,0,0,0,0,0,0,0.4467213115,0.4467213115
57,0,0,118,0,0,0,0,0,0,0,0,6.078953954,0,0,0,0,0,0,0,0,2.637788022,0,0,0,0,0,0,0,0,0.4738955823,0.4738955823
58,0,0,114,0,0,0,0,0,0,0,0,5.872887718,0,0,0,0,0,0,0,0,2.556204035,0,0,0,0,0,0,0,0,0.4653061224,0.4653061224
59,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.337328314,0,0,0,0,0,0,0,0,0.4244897959,0.4244897959
60,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.338773058,0,0,0,0,0,0,0,0,0.4210526316,0.4210526316
61,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.427390754,0,0,0,0,0,0,0,0,0.4408163265,0.4408163265
62,0,0,105,0,0,0,0,0,0,0,0,5.409238688,0,0,0,0,0,0,0,0,2.357624212,0,0,0,0,0,0,0,0,0.4303278689,0.4303278689
63,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.449156558,0,0,0,0,0,0,0,0,0.4485596708,0.4485596708
