z(Angstrom),Total_mass_gcm3_mean,Total_mass_gcm3_se,CSH_Si_gcm3_mean,CSH_Si_gcm3_se,Ca_gcm3_mean,Ca_gcm3_se,H_Hydroxyl_CSH_gcm3_mean,H_Hydroxyl_CSH_gcm3_se,H_SiO2_Hydroxyl_gcm3_mean,H_SiO2_Hydroxyl_gcm3_se,H_Unbonded_CSH_gcm3_mean,H_Unbonded_CSH_gcm3_se,H_Unbonded_SiO2_gcm3_mean,H_Unbonded_SiO2_gcm3_se,H_Water_CSH_gcm3_mean,H_Water_CSH_gcm3_se,H_Water_IF_gcm3_mean,H_Water_IF_gcm3_se,O_Bridging_CSH_gcm3_mean,O_Bridging_CSH_gcm3_se,O_Hydroxyl_CSH_gcm3_mean,O_Hydroxyl_CSH_gcm3_se,O_NBO_CSH_gcm3_mean,O_NBO_CSH_gcm3_se,O_SiO2_Structural_gcm3_mean,O_SiO2_Structural_gcm3_se,O_SiO2_Surface_gcm3_mean,O_SiO2_Surface_gcm3_se,O_Unclassified_CSH_gcm3_mean,O_Unclassified_CSH_gcm3_se,O_Water_CSH_gcm3_mean,O_Water_CSH_gcm3_se,O_Water_IF_gcm3_mean,O_Water_IF_gcm3_se,O_Water_IF_CaCoord_gcm3_mean,O_Water_IF_CaCoord_gcm3_se,Si_Bulk_gcm3_mean,Si_Bulk_gcm3_se,Si_Surface_gcm3_mean,Si_Surface_gcm3_se
 9.291079, 0.5828429836, 0.0155663599, 0, 0, 0.1320025191, 0.011540278, 0.0036862066, 0.0004166826, 0, 0, 0, 0, 0, 0, 0.0382632554, 0.0009486394, 0, 0, 0, 0, 0.0359276613, 0.0024761354, 0.0143710645, 0.0026223759, 0, 0, 0, 0, 0, 0, 0.3585922767, 0.0111169335, 0, 0, 0, 0, 0, 0, 0, 0
 9.490887, 0.5580200449, 0.0196569289, 0, 0, 0.0994304689, 0.0110262026, 0.0040311148, 0.0002261433, 0, 0, 0, 0, 0, 0, 0.0415614402, 0.0012263945, 0, 0, 0, 0, 0.0749348364, 0.0066139581, 0.018477083, 0.0049423065, 0, 0, 0, 0, 0, 0, 0.3195851015, 0.012890062, 0, 0, 0, 0, 0, 0, 0, 0
 9.690695, 0.6349977491, 0.0152378795, 0.0048051627, 0.0016069811, 0.1208594493, 0.0115653819, 0.0039880013, 0.0003632474, 0, 0, 0, 0, 0, 0, 0.0437602301, 0.0007702863, 0, 0, 0, 0, 0.0845155461, 0.0047690829, 0.0369541659, 0.0034539459, 0, 0, 0, 0, 0, 0, 0.3401151937, 0.0102842376, 0, 0, 0, 0, 0, 0, 0, 0
 9.890503, 0.6486783349, 0.0140865235, 0.0372400111, 0.0055735636, 0.1088592203, 0.0089056891, 0.0050011692, 0.0002856405, 0, 0, 0, 0, 0, 0, 0.0459159065, 0.0010645959, 0, 0, 0, 0, 0.0667227996, 0.005435721, 0.0301108019, 0.003728485, 0, 0, 0, 0, 0, 0, 0.3548284265, 0.0144512376, 0, 0, 0, 0, 0, 0, 0, 0
 10.090311, 0.8625950009, 0.0176675774, 0.0558600167, 0.0047154133, 0.2340044656, 0.0098930629, 0.0081915702, 0.000486569, 0, 0, 0, 0, 0, 0, 0.0543661578, 0.0009825922, 0, 0, 0, 0, 0.0520095668, 0.0045879828, 0.0393493433, 0.0022133312, 0, 0, 0, 0, 0, 0, 0.4188138804, 0.011096961, 0, 0, 0, 0, 0, 0, 0, 0
 10.290119, 1.0083507293, 0.0259230671, 0.0396425925, 0.0093904719, 0.3051486804, 0.0166674001, 0.0113388577, 0.0004597949, 0, 0, 0, 0, 0, 0, 0.0571900938, 0.0011849617, 0, 0, 0, 0, 0.0848577143, 0.0044792474, 0.0171084101, 0.0021353974, 0, 0, 0, 0, 0, 0, 0.4930643804, 0.0117850158, 0, 0, 0, 0, 0, 0, 0, 0
 10.489927, 1.1074113348, 0.0202299413, 0.0612658247, 0.0046033438, 0.2905769738, 0.0142062138, 0.0136669881, 0.0005499032, 0, 0, 0.0000215568, 0.0000215568, 0, 0, 0.0613074357, 0.0013011732, 0, 0, 0.0044481866, 0.0015914161, 0.1765587927, 0.0080910872, 0.0006843364, 0.0004709926, 0, 0, 0, 0, 0, 0, 0.4988812399, 0.0141898333, 0, 0, 0, 0, 0, 0, 0, 0
 10.689736, 1.1205644123, 0.0187372553, 0.0558600167, 0.0060552552, 0.2802910632, 0.0151952634, 0.0158226645, 0.0005885722, 0, 0, 0, 0, 0, 0, 0.0613289924, 0.0012024184, 0, 0, 0.0280577926, 0.0030158242, 0.2001683987, 0.0107732233, 0.0010265046, 0.0007488305, 0, 0, 0, 0, 0, 0, 0.4780089795, 0.0088710556, 0, 0, 0, 0, 0, 0, 0, 0
 10.889544, 1.3610960083, 0.0282654557, 0.0600645341, 0.0073949894, 0.3565782333, 0.0179196023, 0.0166633783, 0.0004663179, 0, 0, 0.0000215568, 0.0000215568, 0, 0, 0.0566080612, 0.0012507617, 0, 0, 0.0581685945, 0.0051475085, 0.2754454034, 0.0099029861, 0.0095807097, 0.0017482506, 0, 0, 0, 0, 0, 0, 0.5279655371, 0.0111155477, 0, 0, 0, 0, 0, 0, 0, 0
 11.089352, 1.4975023317, 0.0281867091, 0.028230331, 0.0052489812, 0.3317206161, 0.0198320005, 0.0171376271, 0.0005523661, 0, 0, 0.0000215568, 0.0000215568, 0, 0, 0.0518009029, 0.0008211699, 0, 0, 0.0800673595, 0.0042447443, 0.4003367974, 0.0119720274, 0.0362698295, 0.0038166873, 0, 0, 0, 0, 0, 0, 0.5519173113, 0.0114648521, 0, 0, 0, 0, 0, 0, 0, 0
